timestamp,close,ema20,ema50,ema200,rsi,adx,atr,macd,macd_signal,bb_upper,bb_lower,rec_w,rec_d,rec_4h,dxy_rec,score_b,score_s
2026-09-04 09:35:33,1.16126,1.15969,1.15571,1.15674,55.0,32.98,0.00478,0.002844,0.003677,1.17108,1.15029,BUY,BUY,NEUTRAL,SELL,43,18
2026-09-04 09:51:27,1.16166,1.15972,1.15573,1.15674,55.67,32.98,0.00478,0.002876,0.003684,1.17111,1.15031,BUY,BUY,BUY,SELL,31,18
2026-09-04 10:07:21,1.16134,1.15969,1.15572,1.15674,55.13,32.98,0.00478,0.002851,0.003679,1.17109,1.1503,BUY,BUY,BUY,SELL,31,18
2026-09-04 10:23:15,1.16163,1.15972,1.15573,1.15674,55.62,32.98,0.00478,0.002874,0.003683,1.1711,1.15031,BUY,BUY,BUY,SELL,31,18
2026-09-04 10:39:09,1.16196,1.15975,1.15574,1.15675,56.19,32.98,0.00478,0.0029,0.003689,1.17113,1.15032,BUY,BUY,BUY,SELL,31,18
2026-09-04 10:55:03,1.1617,1.15973,1.15573,1.15674,55.74,32.98,0.00478,0.002879,0.003684,1.17111,1.15031,BUY,BUY,BUY,SELL,31,18
2026-09-04 11:10:57,1.16202,1.15976,1.15574,1.15675,56.3,32.98,0.00478,0.002905,0.00369,1.17113,1.15032,BUY,BUY,BUY,SELL,31,18
2026-09-04 11:26:51,1.16201,1.15976,1.15574,1.15675,56.28,32.98,0.00478,0.002904,0.003689,1.17113,1.15032,BUY,BUY,BUY,SELL,31,18
2026-09-04 11:42:44,1.16206,1.15976,1.15575,1.15675,56.37,32.98,0.00478,0.002908,0.00369,1.17114,1.15032,BUY,BUY,STRONG_BUY,SELL,31,18
2026-09-04 11:58:38,1.16189,1.15975,1.15574,1.15675,56.07,32.98,0.00478,0.002895,0.003687,1.17112,1.15031,BUY,BUY,BUY,SELL,31,18
2026-09-04 12:14:32,1.16217,1.15977,1.15575,1.15675,56.56,32.98,0.00478,0.002917,0.003692,1.17114,1.15032,BUY,BUY,STRONG_BUY,SELL,31,18
2026-09-04 12:30:26,1.16214,1.15977,1.15575,1.15675,56.51,32.98,0.00478,0.002914,0.003691,1.17114,1.15032,BUY,BUY,STRONG_BUY,SELL,31,18
2026-09-04 12:46:20,1.1621,1.15977,1.15575,1.15675,56.44,32.98,0.00478,0.002911,0.003691,1.17114,1.15032,BUY,BUY,STRONG_BUY,SELL,31,18
2026-09-04 13:02:13,1.16177,1.15973,1.15573,1.15674,55.86,32.98,0.00478,0.002885,0.003686,1.17111,1.15031,BUY,BUY,BUY,SELL,31,18
2026-09-04 13:18:07,1.16167,1.15973,1.15573,1.15674,55.69,32.98,0.00478,0.002877,0.003684,1.17111,1.15031,BUY,BUY,BUY,SELL,31,18
2026-09-04 13:34:01,1.16134,1.15969,1.15572,1.15674,55.13,32.98,0.00478,0.002851,0.003679,1.17109,1.1503,BUY,BUY,BUY,SELL,31,18
2026-09-04 13:49:55,1.16123,1.15968,1.15571,1.15674,54.95,32.98,0.00478,0.002842,0.003677,1.17108,1.15029,BUY,BUY,NEUTRAL,SELL,43,18
2026-09-04 14:05:49,1.16124,1.15968,1.15571,1.15674,54.96,32.98,0.00478,0.002843,0.003677,1.17108,1.15029,BUY,BUY,NEUTRAL,SELL,43,18
2026-09-04 14:21:43,1.16105,1.15967,1.15571,1.15674,54.65,32.98,0.00478,0.002827,0.003674,1.17107,1.15028,BUY,BUY,NEUTRAL,SELL,43,18
2026-09-04 14:37:37,1.16113,1.15967,1.15571,1.15674,54.78,32.98,0.00478,0.002834,0.003675,1.17107,1.15029,BUY,BUY,NEUTRAL,SELL,43,18
2026-09-04 14:53:31,1.1609,1.15965,1.1557,1.15674,54.4,32.98,0.00478,0.002816,0.003672,1.17106,1.15028,BUY,BUY,NEUTRAL,SELL,43,18
2026-09-04 15:09:25,1.16125,1.15969,1.15571,1.15674,54.98,32.98,0.00478,0.002843,0.003677,1.17108,1.15029,BUY,BUY,NEUTRAL,SELL,43,18
2026-09-04 15:25:18,1.16137,1.1597,1.15572,1.15674,55.18,32.98,0.00478,0.002853,0.003679,1.17109,1.1503,BUY,BUY,NEUTRAL,SELL,23,18
2026-09-06 17:20:07,1.1611,1.15983,1.15593,1.15678,54.7,32.13,0.00446,0.002626,0.003468,1.17098,1.1511,BUY,BUY,NEUTRAL,SELL,43,18
2026-09-06 18:31:27,1.1613,1.15985,1.15594,1.15679,55.06,32.13,0.00448,0.002642,0.003471,1.17099,1.15111,BUY,BUY,NEUTRAL,SELL,23,18
2026-09-06 18:47:20,1.16128,1.15984,1.15594,1.15679,55.03,32.13,0.00448,0.00264,0.003471,1.17099,1.15111,BUY,BUY,NEUTRAL,SELL,23,18
2026-09-06 19:03:14,1.16133,1.15985,1.15594,1.15679,55.11,32.13,0.00448,0.002644,0.003472,1.17099,1.15111,BUY,BUY,NEUTRAL,SELL,23,18
